70, Female, Meghalaya, 6857177368, 160.65 cm, 65.18 kg
58, Female, Goa, 8476627436, 164.28 cm, 70.12 kg
26, Male, Odisha, 9386718284, 171.14 cm, 68.37 kg
21, Female, Mizoram, 7248863876, 158.47 cm, 71.39 kg
78, Male, Punjab, 9375175458, 137.69 cm, 68.08 kg
44, Male, Madhya Pradesh, 7273722663, 141.63 cm, 67.29 kg
67, Male, Rajasthan, 9826136477, 162.68 cm, 71.36 kg
45, Male, Chhattisgarh, 9331347226, 162.75 cm, 75.16 kg
88, Female, Karnataka, 8574536416, 150.9 cm, 71.46 kg
87, Male, Sikkim, 7821741485, 171.68 cm, 68.59 kg
10, Male, Tripura, 8556732857, 167.87 cm, 69.69 kg
9, Male, Andhra Pradesh, 9864813786, 167.62 cm, 73.67 kg
15, Female, Haryana, 6834231115, 169.43 cm, 71.63 kg
64, Female, Tripura, 7814478326, 147.68 cm, 62.32 kg
14, Female, Tripura, 7632734624, 153.98 cm, 74.32 kg
13, Female, Himachal Pradesh, 7414274462, 141.4 cm, 72.2 kg
65, Male, Telangana, 7216754371, 178.21 cm, 72.53 kg
42, Male, Chhattisgarh, 7485282673, 163.29 cm, 68.74 kg
56, Female, Meghalaya, 9613828163, 152.38 cm, 63.39 kg
34, Male, Rajasthan, 8586447834, 162.67 cm, 70.58 kg
27, Female, Maharashtra, 8278722624, 159.65 cm, 71.0 kg
78, Female, Uttarakhand, 6741717244, 163.49 cm, 74.48 kg
28, Male, Goa, 7514471578, 157.77 cm, 70.2 kg
64, Male, Meghalaya, 6686486328, 155.66 cm, 79.41 kg
99, Female, Mizoram, 8118877846, 155.3 cm, 66.5 kg
73, Male, Andhra Pradesh, 9838247583, 156.56 cm, 68.0 kg
70, Male, Assam, 9111127514, 163.7 cm, 73.45 kg
9, Female, Meghalaya, 9426231186, 160.37 cm, 70.73 kg
20, Male, Karnataka, 6748757573, 152.98 cm, 68.54 kg
3, Male, Tamil Nadu, 9311687241, 162.09 cm, 67.63 kg
90, Female, Assam, 8458451386, 158.99 cm, 77.78 kg
72, Male, Arunachal Pradesh, 7645124353, 165.94 cm, 69.17 kg
40, Male, Mizoram, 9458675726, 145.06 cm, 60.04 kg
60, Female, Jharkhand, 6878762733, 157.58 cm, 70.69 kg
75, Female, Sikkim, 9877524761, 161.98 cm, 69.07 kg
59, Female, Andhra Pradesh, 7568125627, 158.19 cm, 66.03 kg
48, Male, Bihar, 6552532712, 167.21 cm, 64.85 kg
74, Female, Arunachal Pradesh, 7117114862, 152.38 cm, 75.08 kg
31, Female, Goa, 7523166823, 152.29 cm, 68.54 kg
76, Female, Rajasthan, 7743842641, 158.44 cm, 80.82 kg
8, Male, West Bengal, 7527465568, 151.74 cm, 71.05 kg
20, Male, Uttar Pradesh, 9814635228, 151.32 cm, 73.52 kg
62, Male, Meghalaya, 9782415126, 153.55 cm, 71.56 kg
24, Male, Tamil Nadu, 7514587157, 145.94 cm, 71.59 kg
10, Male, Jharkhand, 9215256213, 161.5 cm, 79.4 kg
20, Female, Chhattisgarh, 7124566775, 165.78 cm, 72.72 kg
51, Male, Haryana, 8176837162, 144.41 cm, 65.53 kg
67, Female, Sikkim, 8613663622, 156.89 cm, 67.76 kg
54, Female, Uttar Pradesh, 9627276867, 152.66 cm, 65.18 kg
82, Male, Punjab, 9613331325, 147.5 cm, 77.0 kg
63, Female, Mizoram, 9834356368, 165.05 cm, 73.47 kg
7, Female, Mizoram, 8883778343, 154.54 cm, 70.57 kg
24, Male, Bihar, 7385272215, 167.74 cm, 67.17 kg
77, Male, Meghalaya, 6241712355, 146.1 cm, 71.43 kg
55, Male, Jharkhand, 6416624811, 169.43 cm, 67.56 kg
29, Female, Gujarat, 9864733766, 171.03 cm, 66.5 kg
29, Male, Sikkim, 6177568172, 169.9 cm, 71.24 kg
26, Male, Jharkhand, 6128441278, 159.81 cm, 82.28 kg
48, Male, Karnataka, 7213475546, 168.44 cm, 63.08 kg
25, Female, Gujarat, 8431584721, 169.63 cm, 73.49 kg
12, Male, Telangana, 9237537741, 174.23 cm, 66.73 kg
77, Female, Rajasthan, 9621761752, 146.42 cm, 72.44 kg
31, Female, Assam, 8867232582, 156.45 cm, 72.25 kg
41, Male, West Bengal, 7114227535, 168.86 cm, 72.41 kg
1, Female, Haryana, 6125375124, 134.41 cm, 69.95 kg
